sample	condition
GSM1580869	GSM1580869	Control
GSM1580870	GSM1580870	Control
GSM1580871	GSM1580871	Control
GSM1580872	GSM1580872	Control
GSM1580873	GSM1580873	Control
GSM1580874	GSM1580874	Control
GSM1580875	GSM1580875	Control
GSM1580876	GSM1580876	Control
GSM1580877	GSM1580877	Control
GSM1580878	GSM1580878	Control
GSM1580879	GSM1580879	Control
GSM1580880	GSM1580880	Control
GSM1580881	GSM1580881	Control
GSM1580882	GSM1580882	Control
GSM1580883	GSM1580883	Control
GSM1580884	GSM1580884	Control
GSM1580885	GSM1580885	Control
GSM1580886	GSM1580886	Control
GSM1580887	GSM1580887	Control
GSM1580888	GSM1580888	Control
GSM1580889	GSM1580889	Control
GSM1580890	GSM1580890	Control
GSM1580891	GSM1580891	Control
GSM1580892	GSM1580892	Control
GSM1580893	GSM1580893	Control
GSM1580894	GSM1580894	Control
GSM1580895	GSM1580895	Control
GSM1580896	GSM1580896	Control
GSM1580897	GSM1580897	Control
GSM1580898	GSM1580898	Control
GSM1580899	GSM1580899	Control
GSM1580900	GSM1580900	Control
GSM1580901	GSM1580901	Control
GSM1580902	GSM1580902	Control
GSM1580903	GSM1580903	Control
GSM1580904	GSM1580904	Control
GSM1580905	GSM1580905	Control
GSM1580906	GSM1580906	Control
GSM1580907	GSM1580907	Control
GSM1580908	GSM1580908	Control
GSM1580909	GSM1580909	Control
GSM1580910	GSM1580910	Control
GSM1580911	GSM1580911	Control
GSM1580912	GSM1580912	Control
GSM1580913	GSM1580913	Control
GSM1580914	GSM1580914	Control
GSM1580915	GSM1580915	Control
GSM1580916	GSM1580916	Control
GSM1580917	GSM1580917	Control
GSM1580918	GSM1580918	HD
GSM1580919	GSM1580919	HD
GSM1580920	GSM1580920	HD
GSM1580921	GSM1580921	HD
GSM1580922	GSM1580922	HD
GSM1580923	GSM1580923	HD
GSM1580924	GSM1580924	HD
GSM1580925	GSM1580925	HD
GSM1580926	GSM1580926	HD
GSM1580927	GSM1580927	HD
GSM1580928	GSM1580928	HD
GSM1580929	GSM1580929	HD
GSM1580930	GSM1580930	HD
GSM1580931	GSM1580931	HD
GSM1580932	GSM1580932	HD
GSM1580933	GSM1580933	HD
GSM1580934	GSM1580934	HD
GSM1580935	GSM1580935	HD
GSM1580936	GSM1580936	HD
GSM1580937	GSM1580937	HD
