"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez"
"100287102",8.293526418957,0.0188700987920092,0.231962147744602,0.0813499054715848,0.935163686644727,0.964716240616671,"100287102"
"653635",1275.72768093838,-0.206608361372808,0.147697639244972,-1.39886028259482,0.161854884820778,0.322463521136289,"653635"
"102466751",54.4320615155158,-0.407961258176383,0.180623517572018,-2.25862757884626,0.0239065608041276,0.0849245439558226,"102466751"
"100996442",154.291343031668,-0.231883001992751,0.122028663591713,-1.90023388905242,0.0574024328097516,0.158380199898586,"100996442"
"729737",466.952068759794,-0.544556979642332,0.182455255088329,-2.98460561949122,0.00283944154706886,0.0179841052997938,"729737"
"102725121",8.10879354609873,-0.0436429733591145,0.344570688621667,-0.126658984064178,0.899210310282887,0.944270703907367,"102725121"
"102723897",1558.74345661526,-0.140152525317093,0.162565321340054,-0.862130521822188,0.388615697269812,0.574590222832435,"102723897"
"102465909",31.1140817167018,-0.187197164576001,0.165425408747337,-1.13161071200324,0.257798134563665,0.43988171218308,"102465909"
"107985721",15.3318841344971,-0.231402474560378,0.16939129299231,-1.36608246192963,0.171913082339702,0.3361318493096,"107985721"
"112268260",95.3611611111232,-0.133867667234491,0.135125660509496,-0.99069019703392,0.321836879288056,0.507575537647871,"112268260"
"100132287",516.773968132205,-0.709313452091502,0.163576603289348,-4.33627693586968,1.44916345245697e-05,0.000361276742645485,"100132287"
"105378947",8.86453120438211,-0.347571117735151,0.26555251301905,-1.30886020916781,0.190581707367602,0.360249842264151,"105378947"
"113219467",11495.4657715011,-0.835230831555731,0.256746590257636,-3.25313310185583,0.00114140019064841,0.00928724200143283,"113219467"
"81399",8.74085376753734,0.102705547377766,0.186326455251581,0.551212908757864,0.581487731995035,0.735000254032497,"81399"
"100133331",422.45741083012,-0.781116150851161,0.166891169075002,-4.68039234898116,2.86326427550799e-06,0.000102150797033762,"100133331"
"107984841",38.3754241332155,-0.74352068692734,0.258264904990446,-2.87890717073946,0.00399055777217756,0.0231512628269758,"107984841"
"107984847",61.0042767068084,-1.21315304427267,0.293442731595377,-4.13420716770545,3.5618207761335e-05,0.000707214188191741,"107984847"
"107984849",14.7221360821532,-0.775252526030701,0.292211984810961,-2.65304835642601,0.00797684422008782,0.0380071346722192,"107984849"
"100288069",84.880222458706,-0.226812431154124,0.120507006470002,-1.88215140179907,0.0598154619283602,0.163113607379758,"100288069"
